,P,My,Mz,Width,Depth,D_rebar,w_g,d_g,numRebars,As_total,h,fc
34,-0.1515565381854033,0.3115007033441426,0.376684,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
35,-0.1515565381854033,0.1773931768701261,0.475364,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
36,-0.1515565381854033,0.2020447387202564,0.459782,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
37,-0.1515565381854033,0.0929996492925603,0.501512,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
38,-0.1515565381854033,0.1223813672160932,0.495166,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
39,-0.1515565381854033,0.008621248896852,0.507731,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
40,-0.1515565381854033,0.1180121136475989,0.496281,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
41,-0.1515565381854033,0.2322932666274104,0.43982,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
42,-0.1515565381854033,0.4168346927708918,0.103533,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
43,-0.1515565381854033,0.0986989815025506,0.500481,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
44,-0.1515565381854033,0.1355020712535007,0.491682,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
45,-0.1515565381854033,0.0554284996721193,0.506332,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
46,-0.1515565381854033,0.3368331652613263,0.341249,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
47,-0.1515565381854033,0.299111290230812,0.390837,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
48,-0.1515565381854033,0.220961132282187,0.447192,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
49,-0.1515565381854033,0.1040845874916791,0.499492,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
50,-0.1515565381854033,0.1635950898176257,0.48259,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
51,-0.1515565381854033,0.0861475133608023,0.502667,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
52,-0.1515565381854033,0.3785428611397279,0.254311,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
53,-0.1515565381854033,0.0112413155348712,0.507665,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
54,-0.1515565381854033,0.2739767958190375,0.411148,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
55,-0.1515565381854033,0.0107692496286036,0.507678,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
56,-0.1515565381854033,0.0105240849301535,0.50768,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
57,-0.1515565381854033,0.0263212556372473,0.507275,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
58,-0.1515565381854033,0.2656966967607725,0.416872,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
59,-0.1515565381854033,0.405690800809434,0.175374,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
60,-0.1515565381854033,0.4177474731973697,0.0946505,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
61,-0.1515565381854033,0.419632,0.0316145,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
62,-0.3031130763708067,0.4247681052021036,0.206559,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
63,-0.3031130763708067,0.0453334477852988,0.545034,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
64,-0.3031130763708067,0.150531396484395,0.521346,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
65,-0.3031130763708067,0.2470201123545585,0.461045,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
66,-0.3031130763708067,0.100906923025297,0.535871,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
67,-0.3031130763708067,0.1106465332192671,0.533501,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
68,-0.3031130763708067,0.1481092511474168,0.522243,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
69,-0.3031130763708067,0.2880885090138461,0.43197,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
70,-0.3031130763708067,0.1995106325295413,0.492303,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
71,-0.3031130763708067,0.1469356646569665,0.522587,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
72,-0.3031130763708067,0.0020516287732591,0.546105,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
73,-0.3031130763708067,0.128912635719112,0.528592,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
