P,My,Mz,Width,Depth,D_rebar,w_g,d_g,numRebars,As_total,h,fc
-0.16559432959136716,0.17336360742938345,1.03064,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.23569456241986506,0.987729,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.24840338186519925,0.966182,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.28289049728415844,0.912225,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.32609927153994334,0.842003,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.2834366096047693,0.91159,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.21695241427309092,1.00288,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.2953309482561518,0.892901,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.5584427073083778,0.322766,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.04414752608278082,1.06275,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.20530778962112756,1.011,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.34609109340302435,0.808203,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.6165962954787069,0.111728,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.07435203028691194,1.06122,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.15411860068248637,1.03964,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.5411785211484507,0.376942,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.06535171745587146,1.062,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.614014887921107,0.117717,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.5859533646775961,0.227786,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.22764858510517197,0.994549,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.1371198154122791,1.04662,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.29003971868244477,0.899124,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.5321788609278507,0.404372,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.629124,0.0473523,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.15393113242173942,1.07108,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.5255749341914439,0.450494,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.41287317677792224,0.696937,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.38269390477190773,0.757054,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.40715213252182786,0.704753,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.10605375150355965,1.08994,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.3085428945142929,0.890815,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.6369021025152077,0.0523251,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.19663982303755223,1.04557,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.20937490993020993,1.0364,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.49330952160017344,0.534952,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.22516452427007444,1.02349,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.13374529182510606,1.08008,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.2792746158791012,0.939358,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.5827682513312015,0.267474,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.02701804905215526,1.10054,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.2830071467107919,0.930311,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.3339852755740889,0.850581,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.44997175886026247,0.616337,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.42721062669397275,0.66749,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.3311886591827343,0.3176458886714177,0.875157,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
